ENTITY_STABLE_ID	NAME	DESCRIPTION	URL	TCGA-W5-AA2Z-01	TCGA-ZU-A8S4-01	TCGA-3X-AAV9-01	TCGA-ZH-A8Y2-01	TCGA-W5-AA31-01	TCGA-W5-AA2Q-01	TCGA-W5-AA34-01	TCGA-3X-AAVE-01	TCGA-W5-AA2U-01	TCGA-4G-AAZT-01	TCGA-W5-AA2T-01	TCGA-W5-AA2R-01	TCGA-W5-AA36-01	TCGA-3X-AAVA-01	TCGA-W5-AA39-01	TCGA-4G-AAZO-01	TCGA-YR-A95A-01	TCGA-W5-AA33-01	TCGA-W5-AA2X-01	TCGA-W5-AA2O-01	TCGA-3X-AAVC-01	TCGA-W5-AA2I-01	TCGA-ZH-A8Y4-01	TCGA-3X-AAVB-01	TCGA-W5-AA38-01	TCGA-W6-AA0S-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA30-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y5-01	TCGA-W5-AA2W-01	TCGA-WD-A7RX-01	TCGA-ZH-A8Y8-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y6-01
Furovirus	Furovirus	k__Viruses.f__Virgaviridae.g__Furovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	1.2755381546	3.2542028028	3.0584313502	0.1982935329	3.143805231	2.3308407277	4.4071704082	3.7130354715	4.1717689032	3.8954302654	3.5061315939	3.1108704902	3.9618774184	2.2989983406	3.4557895628	2.2444112752	3.2108668591	3.4587632442	3.4644882363	4.3761090848	3.7694351901	2.8871247137	3.0612602033	2.1768410639	2.5975948169	0.3549769578	2.967817215	2.7857949272	3.7784690081	2.708267226	-0.472241072	3.4818373284	0.5912782948	2.9744576759	2.4462273727	2.724446973
Proboscivirus	Proboscivirus	k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Proboscivirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	7.8975114682	5.9794517737	6.4106083788	5.7609075365	6.9133357329	7.3678515405	7.5697121031	5.8428200787	3.9233774971	6.830827163	7.3207499853	6.0324040856	4.0760560917	6.3881409634	6.3773231582	5.916773767	3.2286553083	7.7588084628	5.1636294104	6.9350726008	5.536649718	6.9461618329	3.1320211106	3.9440555918	7.104090913	5.8506219107	4.3043883097	6.5553254292	7.0625726829	4.3486494044	5.0903729318	7.5408744475	5.4587228917	5.8525735053	3.3649851866	6.3277029611
Gammacoronavirus	Gammacoronavirus	k__Viruses.o__Nidovirales.f__Coronaviridae.g__Gammacoronavirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	4.2728027644	4.4350275239	1.2045821263	3.0593669194	3.0821761517	3.0061772426	3.2080378052	4.1811143424	3.9991085115	4.3206838433	3.6960412816	1.4642789102	1.8298590112	1.6675415381	4.1311260777	1.8216679466	2.9469557145	1.8121716642	1.3324698292	1.8815205983	4.3603708089	2.8254956345	1.1674460876	3.130346762	4.4953237531	3.7626072669	3.6431537299	3.9465582693	3.2314131017	4.1839141887	3.1257979089	1.8352457484	1.5762945151	3.4025716551	4.2077650857	4.0005578588
Spo1virus	Spo1virus	k__Viruses.o__Caudovirales.f__Myoviridae.g__Spo1virus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	3.0028528868	2.7467796824	1.8920967706	1.1168767652	3.2410695729	2.8602160823	2.6750535218	2.8362075091	2.4881505344	4.9488572975	3.2492136419	2.275249028	3.2688603516	2.8855708991	2.7050569982	1.0962044462	1.5492805947	2.8641498815	4.0415603329	2.0404140195	2.2405305311	2.4989622285	2.7359178527	2.2328989056	4.0839014495	2.3753193166	2.5796547298	3.3487228415	2.4574207187	1.6445755557	2.6479760217	3.5791016703	3.4945350234	0.7231159068	1.8908794167	2.6012100296
Sicinivirus	Sicinivirus	k__Viruses.o__Picornavirales.f__Picornaviridae.g__Sicinivirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	1.3911981394	1.1504352158	0.5346140192	1.1379096347	3.2594652157	0.8615382117	1.0633987743	1.1892181405	2.7024663872	0.6282746739	0.8144366565	0.90460238	1.270182481	0.997573431	1.9864870469	2.8841462794	0.8390573409	2.8374576348	0.772793299	2.9068065689	0.8830477798	0.6808566036	0.8309513037	4.3348477729	1.1282923009	1.3095590847	1.498514699	0.5795268171	1.0867740708	0.6681460449	0.46737503	1.2755692183	1.1626773636	0.7441487763	2.6488778804	2.4416706535
Dicipivirus	Dicipivirus	k__Viruses.o__Picornavirales.f__Picornaviridae.g__Dicipivirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.9188206101	3.226226962	2.4115605876	1.9500433899	2.9505864188	3.237157589	2.5910212451	2.3291991147	3.4931232638	2.6747151334	3.7205707505	3.8107364741	3.283231779	0.5525919045	4.3621064242	3.3456242381	3.0009483453	0.4581895099	2.7858425969	3.6974634454	0.4380662533	2.6939059015	2.128511886	4.1308743459	3.5039116782	2.330810697	3.0261371698	4.0331487064	4.1993590423	2.283951573	2.6580204084	3.6511885956	2.5284687951	2.0417093586	3.2545607581	3.2538044087
Molluscipoxvirus	Molluscipoxvirus	k__Viruses.f__Poxviridae.g__Molluscipoxvirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	4.1302932495	2.9463235531	3.9995562911	3.5026154762	3.676632231	4.7381368456	5.5680286308	4.6541604124	4.3420258238	6.1840658615	5.6239210946	4.1291243173	5.1467811149	5.1994812971	4.725582157	3.2872904569	5.0411707041	5.3701018674	5.7135222703	4.0609391783	5.2655278915	6.0522199292	2.458691551	2.7553959254	5.4523499117	4.2643690872	5.8225723099	3.8040487544	3.0889035868	3.8869266898	3.9695843953	4.0146643284	4.8867171403	4.2463581416	2.691655627	3.7068408214
Tymovirus	Tymovirus	k__Viruses.o__Tymovirales.f__Tymoviridae.g__Tymovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.2077231958	0.2403719862	1.8699492959	0.0727224	1.7540621772	0.0931007674	1.8799238307	1.787587823	1.9340289429	0.8711899572	0.0459992122	1.7211274364	0.5017450367	0.0109806128	2.8030121032	1.5420990619	-0.27849505	0.4840576897	1.5893183554	0.5534066238	-0.103545038	1.49738166	1.3507265697	2.2107514309	1.9448173573	2.585776907	0.7300772547	1.3960518735	1.9032991272	-0.49196791	-0.597812205	0.5071317739	2.5735463503	-0.321038458	2.3206562399	1.3764834188
Hepacivirus	Hepacivirus	k__Viruses.f__Flaviviridae.g__Hepacivirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	3.6094372344	2.5512247675	1.2945339966	0.3648498764	2.5277449933	2.6927541837	2.6536066468	1.2121725237	2.0556350624	2.4245776451	2.1151379118	2.2053036353	2.2083136569	1.7574934084	2.4391913956	2.2474898432	0.8125219014	2.1906263099	2.3630011714	1.7745484168	2.7804712809	1.6189877794	0.7948571395	0.8983705374	3.3465313959	2.7088954851	2.7992159543	2.6171936665	2.0249052467	0.6927080096	2.3572802844	1.728273567	1.1492592282	1.1934814393	0.2908556213	1.3060408157
Alphaentomopoxvirus	Alphaentomopoxvirus	k__Viruses.f__Poxviridae.g__Alphaentomopoxvirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	1.9210932792	2.2180000107	1.5262374942	2.2787437884	1.4674322606	1.3914333516	1.5932939141	2.1808416155	1.6473990263	1.5208579249	1.3443317964	1.4344975199	1.8000776209	1.989196906	2.5163821867	2.1917670296	1.754382096	1.7823902739	1.3026884388	1.851739208	1.8746712548	1.2107517434	1.9717854573	1.8670396293	1.6581874407	2.1006221798	2.0284098388	1.1094219569	1.6166692106	1.82158534	1.6082091837	1.8054643581	2.0577600843	1.8849829299	2.2047495333	1.9975423064
Gammatorquevirus	Gammatorquevirus	k__Viruses.f__Anelloviridae.g__Gammatorquevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	-1.167550804	-0.702720994	-1.648933865	-0.760055366	-1.621211823	-0.112248231	0.0896123317	-0.994329744	-1.441245057	-1.322696217	-1.744312287	-1.654146563	-1.288566462	-1.185974453	-0.572261897	-0.651787113	-1.305157862	-1.306253809	-1.785955644	-1.236904875	-1.300500104	-1.87789234	-1.067013697	-1.30813173	-1.430456642	-0.708959934	-1.060234244	-1.979222126	-1.471974873	-1.445715247	0.1543725301	-1.283179725	-0.90664328	-1.153816224	-0.834049621	-1.041256848
Tenuivirus	Tenuivirus	k__Viruses.g__Tenuivirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	-0.295454982	0.083270486	-0.682806444	0.0241261212	-0.749116	-0.825114909	-0.623254347	-0.028202323	-0.569149235	-0.635864106	-0.872216465	-0.782050741	-0.41647064	-0.219847032	0.2998339257	0.035044999	-0.415994349	-0.434157987	-0.913859822	-0.364809053	-0.334372684	-1.005796518	-0.28283221	-0.342004309	-0.55836082	0.0140893717	-0.188138422	-1.107126304	-0.59987905	-0.49753045	-0.646408484	-0.411083903	-0.076142969	-0.369634737	-0.049868134	-0.257075361
Piscihepevirus	Piscihepevirus	k__Viruses.f__Hepeviridae.g__Piscihepevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	1.622757539	2.1249937518	1.1603275508	2.012623344	1.1690965204	1.0930976113	1.2949581739	1.814931672	1.3490632861	1.4075271335	1.0459960561	1.1361617796	1.5017418806	1.6232869626	2.2180464465	2.0784362382	1.4116420423	1.4840545336	1.0043526986	3.1383659685	1.5087613113	0.9124160032	1.705665013	1.5011296858	2.9448142012	1.7179329588	1.7300740986	0.8110862167	1.3183334704	1.5105671965	1.3420887393	1.5071286179	1.818565798	1.6188624856	1.938629089	1.7314218621
Pomovirus	Pomovirus	k__Viruses.f__Virgaviridae.g__Pomovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	1.7496458316	2.0668725495	1.2444895441	1.9758092193	1.2959848131	1.219985904	1.4218464666	1.8990936654	1.4759515788	1.365332	1.1728843488	1.2630500723	1.6286301733	1.7074489559	2.3449347391	2.0362411047	1.3835758596	1.6109428263	1.1312409913	1.6802917604	1.5929233047	1.0393042958	1.6688508882	1.5852916791	1.4867399932	1.8279513171	1.8569623913	0.9379745094	1.4452217631	1.2636001856	1.3052746146	1.6340169105	1.7990258006	1.5820483609	1.9018149642	1.6946077373
Ichnovirus	Ichnovirus	k__Viruses.f__Polydnaviridae.g__Ichnovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	12.482883425	11.301802485	10.897838177	10.368838551	12.920408919	12.46656307	11.215456678	11.482620849	12.901066877	11.220786521	12.366674101	12.672817406	11.422240385	11.427395337	11.565359618	12.404343922	10.082236404	12.268231567	11.708359383	11.732989193	10.188324588	10.924544983	9.8022364037	11.283378627	12.426428464	11.197338138	11.742203078	12.549040233	12.102510503	10.136173848	11.316819007	12.791510533	10.888581078	10.411176808	10.679869227	11.399345322
Betapapillomavirus	Betapapillomavirus	k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.0932344212	2.3870705565	1.7108791242	2.3452456908	1.6395734026	1.5635744935	1.7654350561	2.3654832455	1.8195401683	1.6661876816	1.5164729383	1.6066386618	1.9722187628	2.1738385361	2.6885233286	2.3370967863	1.8967984644	1.9545314158	1.4748295808	2.0238803499	2.0593128848	1.3828928854	2.0382873598	2.0516812593	1.8303285827	2.2637398583	2.2005509808	1.2815630989	1.7888103526	1.9651518967	1.6747110861	1.9776055	2.2358454919	1.9514848324	2.2712514358	2.0640442089
Alphavirus	Alphavirus	k__Viruses.f__Togaviridae.g__Alphavirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	4.1713250126	2.7040466195	2.3182829923	2.610315148	3.8982362397	3.194206108	3.8435256475	2.4874602865	2.7980950862	4.429124331	3.5945635298	4.3014006137	3.3133437601	2.295815577	2.4446858252	2.2926785136	3.1771004286	4.7695876014	4.0383469994	3.3650053472	2.1812899257	3.0135244998	2.303356817	2.1736583002	3.1714535799	3.2262679404	4.0721906948	5.1806835493	4.2079378619	1.4607818624	1.9397805433	2.4707335908	3.6390900969	2.2165542896	1.6883239864	1.4811167595
Trichovirus	Trichovirus	k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.2220672991	2.5147922839	1.7922330406	2.5693434442	1.7684062805	1.6924073715	1.894267934	2.4468371619	1.9483730462	1.7872060268	1.6453058162	1.7354715398	2.1010516407	2.2551924524	2.8173562066	2.4581151316	2.0436552587	2.0833642938	1.6036624587	2.1527132278	2.1406668012	1.5117257633	2.2623851132	2.1330351756	1.9591614606	2.4993962364	2.3293838587	1.4103959768	1.9176432305	2.0721455114	1.8988088395	2.106438378	2.3614550548	2.1755825858	2.4953491891	2.2881419622
Bcep22likevirus	Bcep22likevirus	k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.3706656602	2.6623215795	1.9492795852	2.6732520011	1.9170046416	1.8410057325	2.0428662951	2.6038837065	2.0969714073	1.9385836188	1.7939041773	1.8840699008	2.2496500018	2.412238997	2.9659545676	2.6094927235	2.2348902438	2.2319626548	1.7522608198	2.3013115889	2.2977133458	1.6603241244	2.3662936701	2.2900817202	2.1077598217	2.6894724457	2.4779822198	1.5589943379	2.0662415916	2.1797571515	2.0027173964	2.255036739	2.5044082411	2.2794911427	2.5992577461	2.3920505192
Sclerodarnavirus	Sclerodarnavirus	k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Sclerodarnavirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	3.0160691227	3.5137731952	0.3964700224	0.4649755468	0.2404800092	2.486409195	4.0667813808	3.3730022386	0.4204467749	2.2852834397	1.7023420457	2.5294733633	2.8950534643	0.8594294343	2.874392436	2.2192269503	2.1991764497	0.5554380224	2.3976642823	0.6247869565	0.744903783	-0.016200508	0.1580172158	2.3222346582	2.01619769	0.6724977053	2.3864200881	2.6898246275	3.1970718813	0.1740889736	2.6017958642	2.1634746074	0.9248572562	1.6561771891	0.3909812918	0.1837740649
Alpharetrovirus	Alpharetrovirus	k__Viruses.f__Retroviridae.g__Alpharetrovirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	5.7176101308	4.8620675525	6.568377	4.7180768286	8.0713040343	7.509878298	5.3898107657	6.4860155271	7.0288783786	6.7321764278	6.7258111487	6.8159768722	5.5965944724	6.2943708176	7.897861539	7.4030855325	6.938600237	7.9008352203	7.9065602125	7.9701841544	4.5948826657	6.5922310957	8.4985813388	7.3946059622	7.7766323872	6.4456696187	5.8249266904	7.2278669034	8.5831110636	5.0700944833	7.5069738425	7.1869437104	4.9315231958	5.9092784709	4.6440825736	6.0218378474
Capripoxvirus	Capripoxvirus	k__Viruses.f__Poxviridae.g__Capripoxvirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	-0.423784722	-0.189142249	-0.987484437	-0.303444944	-0.877445741	-0.95344465	-0.751584088	-0.332880316	-0.697478975	-0.836024141	-1.000546205	-0.910380482	-0.544800381	-0.524525026	0.171504185	-0.165115036	-0.754111077	-0.562487728	-1.042189563	-0.493138794	-0.639050677	-1.134126258	-0.610403275	-0.646682302	-0.686690561	-0.305574785	-0.316468163	-1.235456045	-0.728208791	-0.763987396	-0.973979548	-0.539413644	-0.368513285	-0.697205802	-0.377439199	-0.584646426
Cervidpoxvirus	Cervidpoxvirus	k__Viruses.f__Poxviridae.g__Cervidpoxvirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	0.698207884	1.0209563973	0.2084366908	0.9736068791	0.2445468654	0.1685479563	0.3704085189	2.4480033128	0.4245136311	0.3085984308	0.1214464011	0.2116121247	0.5771922256	0.6713961026	1.2934967915	0.9795075355	0.4205753257	0.5595048787	0.0798030436	0.6288538127	0.5568704514	-0.012133652	0.666648548	0.5492388258	0.4353020455	0.8689588172	0.8055244436	-0.113463438	0.3937838154	0.4281009573	0.3030722744	0.5825789629	0.8441763342	0.5798460206	0.899612624	0.6924053971
Higrevirus	Higrevirus	k__Viruses.g__Higrevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	3.6884124573	4.1359419583	1.8359184056	2.1617581969	1.6497889381	3.1587525297	1.7756505916	2.4905225269	1.8297557037	2.2221636709	1.5266884738	1.6168541973	3.567396799	2.2988778174	2.6987388641	2.8930727756	1.9350989441	1.9647469513	1.4850451162	3.6190583861	2.1843521661	2.9780709215	3.4397623666	2.1767205406	3.4255066188	2.2281453017	2.2107665163	1.2917786343	1.799025888	1.6340378428	1.4912235922	1.9878210355	1.9941489736	1.7679973385	2.0877639419	1.8805567149
Phikmvlikevirus	Phikmvlikevirus	k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	0.9069305894	1.2078841909	0.4941636422	1.2753565906	0.4532695709	0.3772706618	0.5791312244	1.1487677635	0.6332363366	0.4925177044	0.3301691066	0.4203348301	0.7859149311	0.957123054	1.5022194969	1.1634268091	0.7944575844	0.7682275841	0.2885257491	0.8375765182	0.8425974028	0.1965890536	0.9683982596	0.8349657772	0.6440247509	0.8056252439	1.0142471491	0.0952592671	0.6025065209	0.7250181518	0.6048219859	0.7913016683	1.0039770546	0.8815957322	1.2013623355	0.9941551086
T5likevirus	T5likevirus	k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.366779475	2.660844561	1.9509983578	2.6954776352	1.9131184564	1.8371195473	2.0389801099	2.6056024791	2.0930852221	1.938371539	1.7900179921	1.8801837156	2.2457638166	2.4139577696	2.9620683824	2.6092806437	2.2151168237	2.2280764696	1.7483746346	2.2974254037	2.2994321184	1.6564379392	2.3885193042	2.2918004928	2.1038736365	2.6555032834	2.4740960346	1.5551081527	2.0623554064	2.2116676041	2.0249430305	2.2511505538	2.4771650954	2.3017167768	2.6214833802	2.4142761533
Bafinivirus	Bafinivirus	k__Viruses.o__Nidovirales.f__Coronaviridae.g__Bafinivirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	0.4028011269	0.2527737939	1.4460272848	1.8427629179	-0.050859892	-0.126858801	0.0750017618	0.5156689054	1.7140693747	0.3979335253	-0.173960356	-0.083794632	0.2817854685	0.3240241959	3.3200181292	1.06884263	-0.331261643	1.8490606223	-0.215603714	0.3334470556	0.2094985447	1.2774220918	-0.049157914	0.2018669191	0.1398952884	0.1583579869	0.5101176865	-0.408870195	0.0983770583	-0.443406232	1.1722283132	0.2871722058	0.3028916511	-0.135960441	0.1838061622	-0.023401065
Lambdalikevirus	Lambdalikevirus	k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	http://cancermicrobiome.ucsd.edu/CancerMicrobiome_DataBrowser/	2.0363433364	2.4327429391	3.2583695795	2.4043247042	1.5826823178	1.5066834087	1.7085439713	2.3280112001	1.7626490835	1.7209553662	1.4595818535	1.549747577	1.915327678	2.1363664906	2.6316322438	2.3918644709	1.9658518933	1.897640331	1.417938496	1.9669892651	2.0218408393	2.9109643013	2.0973663732	2.0142092138	1.7734374979	1.7868882446	2.143659896	1.2246720141	1.7319192678	1.7357258071	1.7337900995	1.9207144152	2.1845805654	2.0105638458	2.3303304492	2.1231232223
