Composite.Element.REF	TCGA-3X-AAV9-01	TCGA-WD-A7RX-01	TCGA-3X-AAVC-01	TCGA-W5-AA34-01	TCGA-W5-AA33-01	TCGA-4G-AAZT-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA36-01	TCGA-YR-A95A-01	TCGA-ZH-A8Y8-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-3X-AAVA-01	TCGA-W6-AA0S-01	TCGA-W5-AA2I-01
PRKAA1|AMPK_alpha	0.6682	-0.7021	-0.3167	0.795	-2.5022	0.2288	0.2393	-0.5607	1.4351	0.5531	-1.1536	1.2804	0.0945	-1.7627	-1.1529	1.0405	0.717	-0.1423	-0.8862	-0.8508	-0.1376	-0.4616	0.3205	0.9188	0.3139	-0.1717	1.6036	-1.0284	-0.3047	1.9255
PRKAA1|AMPK_pT172	0.5043	-0.6632	1.0006	0.2511	-0.0781	0.6049	0.9032	0.337	1.1648	-0.2404	-0.7425	1.0963	0.4066	-1.9095	-0.8393	-0.822	0.476	0.488	0.5527	0.2821	0.8948	-2.1714	0.6425	0.9827	0.6411	0.1996	-2.7544	-0.3712	0.657	-1.4935
AR|AR	-0.3586	-1.3626	-0.4218	0.4962	0.1432	2.309	-1.3906	-1.1884	1.2865	0.1236	0.7344	0.7725	0.1147	-0.0933	0.5001	-0.302	0.3028	-0.078	0.3874	-1.1892	0.7368	-0.5271	-1.3364	-0.9277	-0.0416	-0.8122	3.0292	-0.2136	-0.8316	0.1384
ASNS|ASNS	-0.1263	-0.4709	1.3397	-0.489	-0.743	-0.338	0.2548	3.9827	-1.118	-1.1288	-0.9227	-0.543	0.0732	-0.4712	-0.2401	-0.6267	-0.7093	0.4249	1.1654	0.1395	0.0994	0.6768	-0.6061	-0.2527	-0.4538	1.2506	-0.8816	-0.4561	0.145	1.0252
ATM|ATM	0.4947	0.4348	-1.7751	-0.2779	-1.1382	0.031	0.3771	0.2634	-0.6897	0.6599	-1.1761	1.8793	0.3377	-1.2925	-0.294	-0.7847	0.2359	0.0094	1.3424	0.3492	2.3925	-0.7743	0.3586	0.2602	-0.7777	1.4004	-1.6745	0.3199	0.8552	-1.3467
BAK1|Bak	0.1392	-0.7238	-1.3308	0.2302	1.5578	-0.2652	-1.1468	-0.8524	-1.2026	-0.0309	1.0686	-0.0234	-0.7822	0.2818	0.0855	0.9653	-0.528	-0.2631	0.4678	-0.4927	-1.2166	0.6702	-0.1122	-0.5669	0.2905	-0.7036	3.7597	0.575	-0.5352	0.685
BAX|Bax	0.7089	1.0271	0.4162	1.4547	-1.8023	0.2736	1.0274	-0.7599	1.3167	0.0581	-1.7071	-0.0801	0.2348	-0.1983	-0.6185	-1.5938	-0.7772	-0.7273	-0.822	-0.8377	0.3471	-0.5376	-0.2538	0.3431	1.9251	1.5745	-0.6885	-0.8185	-0.228	1.7433
BCL2|Bcl-2	0.7484	0.0939	-1.4956	-0.2429	2.2766	1.204	0.728	-1.7797	-1.2498	-0.1523	1.4136	-0.8027	-0.3056	1.5336	0.64	-0.4835	-0.9027	-1.2253	1.4607	-0.2857	-1.0065	-0.9386	-0.9578	0.0041	0.0308	0.7188	-0.0662	1.2617	-0.1733	-0.0463
BCL2L1|Bcl-xL	-0.0141	-0.4078	-0.7466	0.4805	-2.3947	1.435	0.2967	0.9407	0.1512	1.1635	-1.7579	-0.0138	1.2379	-1.2116	-0.4869	-1.1291	0.4101	1.9663	-0.664	0.0216	0.0991	-0.0388	0.5939	-0.2163	0.6256	-0.0878	-1.3648	-1.0556	1.6698	0.4979
BECN1|Beclin	0.173	-0.5726	-1.0467	-0.7264	0.8036	-0.8762	-0.6542	0.0331	0.4866	0.5564	1.149	-0.2495	-0.9821	0.0438	-0.0495	3.981	-0.3095	-0.9013	0.62	-0.8083	0.1584	0.9642	-1.2087	-0.8404	-0.1207	-0.6252	0.6166	0.534	-0.8743	0.7263
CTNNB1|beta-Catenin	-1.0999	-0.1495	-0.2292	-2.2962	0.2133	0.4135	0.4485	0.2397	0.513	1.3162	0.8302	0.3741	0.6047	-0.0654	0.3814	-2.3507	-0.0973	1.1465	0.6051	0.0009	0.8622	-0.7077	0.0905	-0.253	0.8176	0.8002	-1.0619	0.5932	0.8225	-2.7623
BID|Bid	0.8037	-0.3998	0.0986	0.3156	-1.8493	0.1055	0.7433	0.326	-0.1046	0.2035	-1.2802	-0.3553	-0.1564	-0.9404	-0.8592	3.38	-0.1449	0.2127	-0.4505	-0.6157	-0.5039	1.9602	0.0765	-0.3866	0.3875	-0.2763	-0.9676	-1.2136	0.3204	1.5709
BCL2L11|Bim	-0.3342	0.9881	-0.9472	1.2319	-0.5606	0.3273	0.7738	-0.0249	-0.0139	0.7502	-0.91	-0.4824	1.4513	-1.0243	1.256	-2.3376	-0.7745	-0.0647	-0.3236	-0.012	-1.4391	0.8711	-1.1212	1.7463	1.52	1.4993	-0.71	-0.1575	-0.4674	-0.7102
JUN|c-Jun_pS73	-0.155	-0.1882	-1.0704	1.1064	2.5228	-0.3097	-0.5118	-0.5185	-1.6999	-0.4264	1.7617	-0.1872	-0.4402	1.7431	1.2461	-0.8844	-1.0273	-0.3942	0.8965	0.6313	-0.8484	-0.2091	-1.0272	-0.3344	-0.5074	-0.379	1.0482	1.4078	-0.9402	-0.3051
KIT|c-Kit	2.3042	0.0964	-1.4195	0.2007	0.8531	0.3063	-0.9565	-1.3018	-0.8714	-0.0403	0.3377	-0.8233	-0.9869	0.4857	0.1628	0.8301	-0.722	-0.424	-0.1368	-0.7948	-0.5344	2.7696	-1.4581	-0.6024	0.3434	1.416	0.6707	0.475	-0.8331	0.6536
MET|c-Met_pY1235	1.4453	-0.5478	-0.7108	1.2499	-0.9027	-0.1951	-0.4383	0.2637	-0.5598	0.1641	-0.9262	-0.1743	-0.3005	0.0103	-0.7435	1.79	-0.1991	0.1997	-0.2764	-0.99	-0.6871	1.9531	-0.9599	-0.3747	0.7337	-1.3867	1.5098	-0.6474	-0.9192	2.62
MYC|c-Myc	0.7742	-0.6829	-1.3926	0.5148	0.5416	0.3775	-0.9755	-0.3342	-0.993	0.8259	0.4986	-0.1981	-0.5998	0.1539	-0.0978	-0.1708	-0.6222	0.4277	0.0027	-0.6028	-0.1021	1.833	-1.2641	-0.6101	0.0855	-1.398	3.7742	0.2034	-0.3914	0.4223
RAF1|C-Raf	1.5708	-0.0748	1.383	-2.052	-1.8069	-0.3558	0.2948	1.2435	-1.1485	0.7396	-0.4727	0.7304	0.0628	-2.1534	0.4146	2.0818	-0.3026	0.7208	0.3956	-0.4077	0.5872	0.5941	-1.1986	-0.2995	-0.2909	-0.2336	0.289	-0.7625	0.7478	-0.2961
RAF1|C-Raf_pS338	1.75	-0.0894	0.5006	1.5697	-0.2525	0.0833	-0.0655	0.3637	-0.3705	0.2478	0.0111	-0.2466	-0.9188	0.0489	-0.5749	2.3729	-0.7379	-0.2174	-0.4519	-0.7167	-1.4793	2.1074	-1.1164	-0.5846	0.1461	-1.6999	0.2253	-0.8868	-0.7703	1.7526
CASP7|Caspase-7_cleavedD198	1.1938	1.0341	2.3705	0.8365	-0.2422	-0.9369	-0.9078	-0.8587	-0.7556	-0.8488	-0.2925	-0.7939	-0.9161	-0.5288	-0.472	1.3379	-0.9322	-0.4934	-0.0288	-0.0909	0.815	0.3911	2.5196	-0.6118	-0.5117	-0.6217	-0.5961	-0.6944	-0.1978	1.8338
CAV1|Caveolin-1	0.7024	-0.2211	0.3627	-0.2486	-0.8522	-0.4751	0.4371	-0.6783	0.4593	0.4987	-0.6453	-0.7727	-1.2991	-0.5344	-0.6653	3.782	-0.5168	0.1617	-0.118	0.048	-1.0837	-0.9386	-0.4594	-0.3546	0.4215	0.0444	-0.5197	0.1218	2.2687	1.0747
PECAM1|CD31	0.4851	-0.7923	-0.9354	0.6906	2.2864	-0.2146	-1.4086	0.5501	-1.5133	-0.474	1.7464	-0.1007	-1.0037	1.5268	0.9416	-0.0064	-0.7402	0.0134	0.7128	-0.804	-0.7791	0.0926	-1.3054	-0.4769	0.2347	-1.5803	1.4498	1.0121	-0.262	0.6544
ITGA2|CD49b	1.0217	-1.238	-1.211	1.2634	-0.5906	0.1188	-0.7013	0.5316	-0.9258	0.2294	-0.6875	-1.0756	0.1832	0.5082	-0.2057	-1.8686	0.4019	0.3617	-0.7735	-1.0913	-0.3211	-0.9016	1.5134	-0.7857	2.2738	0.4473	0.4723	-0.073	1.0741	2.0496
CDK1|CDK1	0.8473	-0.3774	0.3099	0.9131	0.8438	0.2051	-1.1225	-0.0016	-1.2594	0.746	1.1988	-0.7567	-0.4979	0.4252	-0.3128	0.8914	-0.7993	-0.8832	-0.3939	-0.6325	-0.4594	1.93	-1.6467	0.0743	-0.2596	-1.8372	2.5431	0.483	-1.0695	0.8987
CHEK1|Chk1	-0.6821	0.0488	1.0249	0.5366	-1.4306	-1.1251	-0.4224	0.0416	-0.4661	0.9311	-1.2697	0.5725	1.0453	-0.3335	0.6501	0.9526	1.0253	-0.7078	-1.5351	-0.7197	1.1593	1.2253	-1.6446	1.3436	-1.0712	2.0464	0.4684	-1.1041	-0.7441	0.1844
CHEK1|Chk1_pS345	0.4433	-0.4313	-0.3219	1.2922	1.5508	0.3446	-0.6577	-0.7893	-0.4222	-0.9026	1.7306	0.1901	0.0779	0.9768	0.8881	-3.8101	-0.0683	-0.27	0.2645	-0.5865	0.0554	-0.4817	-1.0344	0.5312	-0.3095	-0.6055	0.5619	0.7174	0.4006	0.6656
CHEK2|Chk2	0.5296	-0.6013	1.6106	0.0881	0.2649	-1.4696	-0.2615	-0.944	0.2614	-0.6465	0.6883	-0.5334	-0.9398	1.1867	0.4971	-2.5322	1.28	-1.4649	0.0072	0.3555	0.453	-0.3415	-0.6178	0.2291	0.3812	1.0845	0.2348	0.6685	-1.5698	2.1018
CHEK2|Chk2_pT68	2.0581	-0.0999	-0.0979	1.5214	-0.3313	-0.0272	0.7259	0.1319	-0.8112	0.1252	0.196	-0.458	-0.5646	-0.2292	-0.4592	-0.1884	-0.7028	-0.5477	-0.0601	-1.2131	-1.2093	3.0173	-0.6923	-0.4853	0.3915	-1.4512	0.1813	-0.3295	-0.6074	2.217
BIRC2 |cIAP	0.7057	-0.385	0.4994	0.8026	-1.1415	0.1203	-0.7534	-0.8017	-0.0311	0.196	-1.3705	0.1644	-0.997	-0.8199	-0.052	-0.2242	0.6695	-1.1904	0.3568	-0.0344	0.5393	-0.7311	-0.1279	-0.0453	1.0611	-1.0174	3.8235	-0.9731	0.5955	1.1616
CLDN7|Claudin-7	-0.5247	-0.7618	1.4639	1.8803	-1.2979	0.2646	-0.2931	0.3213	-0.8818	0.8732	-1.2736	0.3565	0.7107	0.9175	-0.8783	-2.2155	0.6956	1.6255	-1.7314	0.9693	-0.5848	-0.0956	0.1727	0.5234	0.4665	-0.4522	-0.0893	-1.3994	1.0268	0.2118
COL6A1|Collagen_VI	0.6073	-0.4135	-0.6246	0.1693	-0.2881	-0.3507	0.5599	-0.3439	-0.2759	-0.4219	-0.1086	-0.6746	0.1475	0.12	-0.321	4.7708	-0.3154	-0.9066	0.0726	-0.6181	-0.6907	0.2005	-0.5564	-0.3957	0.2096	-0.6311	0.2434	-0.1255	-0.3889	1.3499
CCNB1|Cyclin_B1	-0.9808	1.0619	1.9385	1.9369	0.4391	-2.1648	-1.1062	-0.5312	-1.5952	-0.0652	0.0598	0.6718	-2.2789	0.6401	0.5052	-1.4486	0.6516	-0.9551	-0.0773	0.58	0.4329	0.7042	-0.1917	0.1484	0.0883	0.1553	0.5243	0.0689	0.4706	0.3176
CCND1|Cyclin_D1	1.1603	-0.3937	0.5058	0.3196	-0.9109	-0.2254	1.0586	0.2188	-0.2955	-0.7602	-0.2144	-0.9502	-0.5435	-0.3047	0.2126	2.5027	-1.0747	-1.2418	1.4857	-1.1038	-1.3372	1.3251	-0.4566	-1.4339	0.6368	-0.2223	0.8679	-0.436	-0.4499	2.0612
CCNE1|Cyclin_E1	0.0405	0.9201	-0.6028	2.0879	0.633	-1.5759	-1.1462	-1.7453	1.2151	-0.518	0.367	-0.4708	-1.1999	0.8515	0.0814	-1.9702	0.4524	-1.1217	0.532	-0.1321	-0.1298	-1.2515	-0.1247	0.3791	-0.136	1.7441	0.3541	0.4616	0.7626	1.2429
PARK7|DJ-1	1.6882	0.5837	0.0663	1.5885	-0.9706	0.146	-0.2629	-1.8559	0.4247	0.4361	-0.3248	-0.6803	-0.1442	-0.5255	-0.0948	1.8174	0.4708	-0.2871	-1.2615	-0.4058	-1.5759	-1.691	1.1072	0.4602	0.8068	-1.3719	0.5628	-0.6679	0.2073	1.7543
DVL3|Dvl3	-0.7572	0.4371	-0.9004	-0.8519	-0.562	0.3095	-0.8625	0.0137	-0.2616	1.1841	-0.1213	2.9014	0.7161	-0.2922	0.6258	-2.8355	0.8235	0.7681	-0.3389	-0.0004	-0.392	-1.0571	0.4531	0.4489	1.8811	-0.1453	-0.8735	-0.4051	0.2172	-0.1226
CDH1|E-Cadherin	-1.0279	-0.3277	0.0752	-0.5824	0.0269	-0.0946	0.1934	0.625	-0.5004	1.3713	-0.017	1.0087	1.2925	-0.6709	0.4334	-2.8158	0.681	0.7101	-0.9594	0.8304	1.5079	-0.1748	0.0703	0.14	0.3462	0.3395	-0.4842	0.3914	0.5788	-2.9669
EEF2|eEF2	-0.0546	0.7958	0.107	1.6428	-1.0271	0.0522	-0.9638	-0.3684	1.3758	-0.426	-0.9531	0.8752	0.6243	-0.4583	-0.2021	-3.1643	1.661	-0.6398	-0.3531	-0.1965	-0.5027	-1.3366	0.2347	0.2557	1.9101	0.6532	0.3188	-0.1442	0.5889	-0.3049
EEF2K|eEF2K	-1.2588	-0.7344	-1.0497	-0.8232	0.8409	-0.2067	-1.699	-0.4027	0.5471	0.3141	1.0777	1.1002	0.9501	0.0382	1.307	-1.3266	2.6222	1.1342	0.5131	-0.6091	0.121	-1.2442	0.1615	-0.163	-0.0496	0.1188	-0.5336	0.3546	0.8121	-1.9124
EGFR|EGFR	-0.518	0.0741	-1.3561	-1.2191	-0.2949	1.0241	-0.738	-0.8091	0.1361	0.4339	0.1105	-0.5805	1.0531	-0.9257	1.4421	1.5826	1.3293	-0.8542	-0.5157	-1.2181	-0.2421	-0.1833	0.1201	-0.8094	-1.0046	0.4829	-0.2453	-0.2175	3.1606	0.7823
EGFR|EGFR_pY1068	-0.2757	-0.2828	-1.0105	0.4942	2.8401	-0.1977	-0.9242	-0.831	-1.1451	-0.4954	2.1511	-0.1281	-0.7652	1.651	1.1557	-1.0945	-0.1655	-0.0691	0.6318	0.2579	-0.5775	-0.0258	-0.7558	-0.2437	-0.4585	-1.3823	0.8587	1.4877	-0.5779	-0.1221
EGFR|EGFR_pY1173	0.7563	-0.5425	-0.2827	0.6756	-1.816	0.188	-0.4746	0.1355	-0.4803	0.3613	-1.1797	0.1614	-0.1985	-0.5669	-0.6016	4.0591	0.0485	-0.0004	-0.9311	-0.5693	-0.2773	0.9092	-0.1149	-0.2631	0.3785	-0.7236	0.6517	-0.7387	-0.0549	1.4909
EIF4E|eIF4E	1.8228	0.797	1.2601	2.8107	-0.3451	0.0919	-0.0961	-0.0335	-0.1848	0.3209	-0.5565	1.046	0.3481	-0.1307	-0.8336	-0.5941	0.4535	-0.2411	-0.9834	0.0173	-1.2215	-1.0555	0.5851	1.1895	0.9497	-1.5433	-0.6811	-1.0536	-0.3803	-1.7585
ESR1|ER-alpha	0.0257	-0.3023	-1.0729	0.3517	2.7559	-0.4151	-0.5534	-0.7264	-0.8999	-0.5687	2.3105	-0.2796	-0.7983	1.1682	0.9847	1.4838	-0.9246	-0.2264	0.5637	-0.476	-1.0134	0.3483	-1.098	-0.257	-0.398	-1.2315	0.4906	1.3647	-0.7913	0.185
ESR1|ER-alpha_pS118	-0.5673	-0.8567	-1.1514	0.9442	-1.2036	0.3379	-1.1439	-1.1137	-0.6495	0.6958	-0.4921	1.3309	-0.2563	-0.3939	0.5085	0.412	1.3984	1.0087	-0.4428	-0.4154	0.987	-0.6082	-1.1088	-0.2412	0.01	-0.7221	3.3995	-0.3396	-0.2348	0.9083
MAPK1|ERK2	1.3491	-0.0867	-0.5907	0.4366	1.5406	-0.3114	-1.5759	-1.082	-1.4392	0.3214	0.7299	0.4371	-0.5369	0.0791	-0.1993	1.3073	0.8157	-0.6155	-0.138	-0.8922	-0.8604	-1.183	-0.9455	0.1305	0.2188	-0.9475	3.0262	0.6254	-0.5441	0.9308
FN1|Fibronectin	0.2835	-0.9983	0.1112	0.6678	-1.4874	-0.8534	0.5469	0.682	-0.1284	1.6441	-1.4102	0.5096	0.1634	1.0218	0.223	0.2069	-0.4395	-0.0648	-0.7192	-1.2845	-0.5137	1.9376	-0.7478	-1.4185	1.3773	-0.5237	0.4103	-0.5595	-1.0638	2.427
FOXO3|FOXO3a	0.4432	-0.2986	-1.0041	1.2891	1.878	-0.9854	-0.5479	-0.9961	-0.7931	0.25	1.479	-0.3648	-0.7598	1.2756	1.0933	1.226	-0.7173	-0.3277	0.4438	-0.7688	-0.9225	0.664	-1.4464	-0.5581	0.1678	-1.7375	1.3478	1.2098	-1.2079	0.6687
GAB2|GAB2	-0.6348	-1.0667	0.1708	-1.7343	-1.0724	-0.773	-0.3224	0.8216	0.0944	0.5402	-1.1707	0.8287	0.1545	-0.1769	0.675	-0.5186	-0.1424	-0.2225	1.01	0.179	1.7806	2.9632	0.0642	-0.1867	0.1034	1.2593	-0.779	-0.235	0.4384	-2.0482
GATA3|GATA3	0.5559	-0.2277	-0.9925	0.2151	1.1905	-0.2227	-0.7138	-0.4501	-0.075	0.2138	1.0292	-0.2271	-0.5782	0.591	0.4841	4.0376	-0.1702	-0.4838	0.7031	-0.5829	0.0161	-0.7001	-1.8628	-0.5921	0.2395	-0.3751	0.0398	0.5939	-1.426	-0.2292
GSK3A GSK3B|GSK3-alpha-beta	1.0238	0.3457	0.3792	1.4596	-2.0473	0.6386	0.1687	-0.5734	1.9719	0.5768	-1.7854	-0.0775	0.3341	-0.7911	-0.8954	-1.5661	-0.0139	-0.5131	-0.8606	-0.4998	0.1655	-1.5061	0.0489	1.2288	0.7908	0.3275	0.3845	-0.8759	0.3224	1.8387
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9	0.5266	1.2824	0.8383	-0.1386	2.0277	-0.3647	0.7735	0.1455	-0.6406	-0.9599	1.05	-0.4764	-2.0663	0.6525	-0.8738	-2.1466	-1.6495	-0.8722	0.1852	0.352	-0.5602	-0.1506	-0.062	0.4773	-0.6504	1.1878	1.7242	0.7712	-0.3932	0.011
ERBB2|HER2	-1.1832	-0.7006	-1.5261	-1.167	0.8688	1.6037	0.354	-0.3887	-0.467	0.7092	0.771	2.2872	1.8939	-0.6876	-0.2053	0.004	1.421	0.956	-0.432	-0.4694	-0.6102	-0.5684	0.3531	0.8104	-1.0226	-0.8571	-1.6865	-0.1873	0.6473	-0.5203
ERBB2|HER2_pY1248	0.3141	-0.6222	-0.2231	0.1474	-2.6539	0.7933	0.0849	0.1619	-0.4016	0.3632	-1.0779	0.9912	0.9131	-1.5455	-0.6719	2.5032	0.9459	0.4097	0.2425	-0.7107	-0.2219	1.3716	-0.0648	-0.1691	-0.5231	-0.6502	-0.0298	-1.5072	0.1655	1.6654
ERBB3|HER3	-1.5036	-1.0552	3.1173	-0.8716	-0.5994	-0.1161	-0.6133	0.2376	-0.3334	0.845	-0.6098	0.5086	2.1557	-0.6209	1.0294	-1.1959	1.4174	1.2113	-0.0989	0.3587	0.4042	-1.1115	-0.181	-0.0535	-0.5829	0.142	-0.3655	-0.6936	-0.4571	-0.3641
ERBB3|HER3_pY1298	1.8327	-0.2931	0.0652	0.9513	-1.6383	-0.2207	0.5566	0.2786	-0.2778	1.0729	-1.1413	-0.5988	0.277	-1.1055	-0.7273	0.8752	-0.4535	-0.2151	-0.7173	-1.0725	-1.4962	0.9023	-0.2899	-0.1099	1.2783	-0.1228	0.5535	-1.2463	0.1784	2.9046
HSPA1A|HSP70	2.0256	-0.068	0.7053	1.7761	-0.9623	1.1038	1.5127	0.5748	-0.3746	-0.6247	-1.1752	-0.7207	-0.9506	-0.5723	-0.9837	2.0351	-0.5123	-0.634	0.4253	-0.9145	-0.6687	1.6065	0.1261	-0.449	0.1513	-1.1907	-1.0424	-0.9707	0.3109	0.461
IGFBP2|IGFBP2	0.8152	-0.3646	-1.0291	-0.9425	1.1775	-0.2669	-0.7057	2.1811	-0.5768	-0.629	-0.0883	-1.1569	-0.6687	-0.009	-0.0164	-0.7599	-0.4059	1.4246	-0.6642	0.1763	-1.4369	1.7317	0.2388	-0.3117	-0.8713	0.1003	0.9807	0.2	2.6745	-0.7969
INPP4B|INPP4B	0.4012	-0.4283	-0.678	0.414	1.5769	-0.7081	0.1464	-0.7227	-1.4577	-0.5851	1.6493	-0.7792	2.3335	1.752	0.8701	0.6755	0.0491	-0.4421	0.4672	-0.3811	-1.373	-0.3563	-1.5114	0.3129	-0.3413	-1.5083	0.5167	1.2873	-0.5522	-0.6275
IRS1|IRS1	0.5756	-0.8742	-0.5389	0.0745	0.0309	-0.545	-0.4725	-0.7705	0.2649	-0.6467	0.8179	-0.7288	0.6189	0.3017	0.0624	2.9053	-0.8534	-0.2832	0.3696	-1.3003	-1.057	2.253	-1.3524	-0.5391	0.1156	-1.5404	0.9848	0.6929	-0.015	1.4494
MAPK8|JNK_pT183_Y185	1.1006	0.3386	0.0181	1.6734	1.4367	0.0149	-0.7476	1.1953	-1.6099	-0.4877	1.1898	-0.6498	-1.499	0.7646	0.0195	-0.8848	-1.3428	-1.0361	0.3372	-0.2906	-1.1698	1.5268	-0.4507	-0.2426	0.1922	-0.9678	0.6056	0.6271	-1.3657	1.7043
MAPK9|JNK2	0.1061	0.5279	-0.4194	-3.5886	0.0386	0.1186	0.0971	-0.143	0.64	0.3475	-0.4175	0.099	0.098	-0.1086	0.56	-0.0201	0.6709	0.6278	0.2425	0.9446	0.8329	-2.1661	0.6304	-0.0155	1.2758	0.9019	-1.1061	-0.2059	1.1497	-1.7186
XRCC5|Ku80	-0.3896	0.6325	-0.2985	-0.2553	-1.6883	-0.0154	-0.5857	-0.2404	0.193	0.6272	-1.0306	0.7194	1.4319	-1.6486	0.7641	-1.3499	2.2616	0.5444	-0.4038	0.4399	0.777	-0.5112	0.7682	0.6963	0.207	1.2547	-2.374	-0.1341	0.7534	-1.1452
LCK|Lck	2.3764	0.9882	0.5449	0.0045	-0.6579	0.5885	-0.57	-0.0778	-0.1314	-1.0001	-1.2541	-1.1339	-0.0847	-0.6341	-1.2254	3.0933	-0.9242	-1.2339	0.9661	-0.2855	-0.2173	0.3677	0.772	0.5795	-0.1479	-1.1306	-0.4743	-0.0869	0.7024	0.2867
