Hugo_Symbol	Entrez_Gene_Id	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2R-01	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA31-01	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01
C1orf233	643988	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
C1orf86	199990	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CALML6	163688	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CCNL2	81669	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CDK11A	728642	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CDK11B	984	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CPSF3L	54973	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
DDX11L1	100287102	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
DVL1	1855	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
FAM132A	388581	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
FAM138A	645520	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
FAM213B	127281	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
FAM41C	284593	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
FAM87B	400728	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
GABRD	2563	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
GLTPD1	80772	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
GNB1	2782	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
HES4	57801	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
HES5	388585	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
ISG15	9636	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
KIAA1751	85452	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
KLHL17	339451	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC00115	79854	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC00982	440556	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC01128	643837	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LOC100129534	100129534	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC02593	100130417	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LOC100133331|chr1	100133331	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LOC100133445	100133445	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LOC100288069	100288069	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TNFRSF14-AS1	115110	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MRPL20-AS1	148413	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LOC729737	729737	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIB2	142678	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR200A	406983	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR200B	406984	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR4251	100422968	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR429	554210	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR6723	102465432	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR6726	102465434	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR6727	102465435	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR6808	102466740	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR6859-1|chr1	102466751	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MMEL1	79258	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MMP23A	8511	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MMP23B	8510	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MORN1	79906	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MRPL20	55052	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MXRA8	54587	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
NADK	65220	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
NOC2L	26155	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
OR4F16	81399	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
OR4F29	729759	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
OR4F5	79501	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PANK4	55229	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PERM1	84808	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PEX10	5192	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PLCH2	9651	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PLEKHN1	84069	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PRDM16	63976	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PRKCZ	5590	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
PUSL1	126789	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
RER1	11079	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
RNF223	401934	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC01342	254099	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
RP4-669L17.10|chr1	100132062	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SAMD11	148398	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SCNN1D	6339	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SDF4	51150	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SKI	6497	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SLC35E2B	728661	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SLC35E2	9906	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SSU72	29101	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TAS1R3	83756	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TMEM240	339453	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TMEM52	339456	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TMEM88B	643965	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TNFRSF14	8764	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TNFRSF18	8784	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TNFRSF4	7293	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TTC34	100287898	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TTLL10	254173	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
UBE2J2	118424	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
VWA1	64856	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
WASH7P	653635	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
ARHGEF16	27237	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MEGF6	1953	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR551A	693135	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TPRG1L	127262	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
WRAP73	49856	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TP73	7161	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
TP73-AS1	57212	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CCDC27	148870	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
SMIM1	388588	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LRRC47	57470	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CEP104	9731	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
DFFB	1677	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
C1orf174	339448	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC01134	100133612	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC01346	728716	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
LINC01777	284661	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
AJAP1	55966	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR4417	100616489	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
MIR4689	100616421	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
NPHP4	261734	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
KCNAB2	8514	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
CHD5	26038	0	-1	0	0	-2	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
